BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
3, 0.0000022373, 0.0000000006, 6, 0.03, 1.10, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.00, 1.00
4, 0.0000241029, 0.0000000107, 28, 0.19, 24.10, 0.0000241029, 0.0000000107, 645, 0.0000241029, 0.0000000107, 645, 1.00, 1.00
5, 0.0000371399, 0.0000000026, 28, 0.17, 31.93, 0.0000371399, 0.0000000026, 857, 0.0000371399, 0.0000000026, 857, 1.00, 1.00
6, 0.0000221686, 0.0000000314, 25, 0.15, 7.78, 0.0000221686, 0.0000000314, 206, 0.0000221686, 0.0000000314, 206, 1.00, 1.00
7, 0.0000022376, 0.0000000007, 6, 0.03, 2.06, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 7, 0.03, 2.40, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.02, 0.24, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 1.00, 1.00
10, 0.0001856062, 0.0000002675, 18, 0.19, 37.25, 0.0001856062, 0.0000002675, 963, 0.0001854967, 0.0000002183, 1025, 1.00, 1.00
11, 0.0000864326, 0.0000000301, 18, 0.12, 12.20, 0.0000864326, 0.0000000301, 326, 0.0000864326, 0.0000000301, 326, 1.00, 1.00
12, 0.0000626623, 0.0000000016, 13, 0.06, 6.36, 0.0000626623, 0.0000000016, 170, 0.0000626623, 0.0000000016, 170, 1.00, 1.00
13, 0.0000022827, 0.0000000020, 12, 0.04, 1.71, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.00, 1.00
BENCH: vgg11
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0001025185, 0.0000005920, 23, 0.28, 0.33, 0.0001025185, 0.0000005920, 1, 0.0000943525, 0.0000001843, 873, 1.00, 0.92
1, 0.0000212549, 0.0000000497, 7, 0.03, 0.08, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 1.00, 1.00
2, 0.0002771250, 0.0000005892, 84, 1.02, 1.07, 0.0033966420, 0.0000199751, 1, 0.0000909042, 0.0000010939, 976, 12.26, 0.33
3, 0.0002403640, 0.0000056799, 6, 0.03, 0.08, 0.0002403640, 0.0000056799, 1, 0.0000113302, 0.0000000020, 3, 1.00, 0.05
4, 0.0001182347, 0.0000006713, 41, 0.75, 0.80, 0.0001263039, 0.0000028609, 1, 0.0000682810, 0.0000009192, 395, 1.07, 0.58
5, 0.0016977705, 0.0000869432, 69, 1.23, 1.28, 0.0033730422, 0.0000801589, 1, 0.0001132625, 0.0000014897, 1047, 1.99, 0.07
6, 0.0000035944, 0.0000001668, 6, 0.03, 0.08, 0.0000035944, 0.0000001668, 1, 0.0000029076, 0.0000000008, 15, 1.00, 0.81
7, 0.0000720210, 0.0000002411, 50, 0.63, 0.68, 0.0003791830, 0.0000125484, 2, 0.0000877419, 0.0000010880, 899, 5.26, 1.22
