BENCH: resnet50
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
33, 0.00003691, 0.00000005, 1, 0.07, 0.00003691, 0.00000005, 6, 0.00001459, 0.00000003, 88, 1.00, 0.40
34, 0.00000415, 0.00000002, 100, 0.17, 0.00000778, 0.00000001, 8, 0.00000716, 0.00000001, 36, 1.88, 1.72
TOP: 50
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000003, 10, 0.02, 0.00000678, 0.00000003, 1, 0.00000678, 0.00000003, 1, 1.00, 1.00
1, 0.00015965, 0.00000196, 100, 0.32, 0.00017490, 0.00000043, 35, 0.00009160, 0.00000002, 339, 1.10, 0.57
2, 0.00004978, 0.00000035, 72, 0.23, 0.00005774, 0.00000006, 44, 0.00004191, 0.00000001, 189, 1.16, 0.84
3, 0.00008068, 0.00000016, 86, 0.27, 0.00009531, 0.00000029, 47, 0.00006616, 0.00000004, 200, 1.18, 0.82
4, 0.00022131, 0.00000064, 100, 0.64, 0.00022778, 0.00000097, 30, 0.00016961, 0.00000027, 427, 1.03, 0.77
5, 0.00004880, 0.00000018, 40, 0.10, 0.00004880, 0.00000018, 34, 0.00004140, 0.00000012, 147, 1.00, 0.85
6, 0.00007954, 0.00000002, 37, 0.09, 0.00007954, 0.00000002, 36, 0.00006173, 0.00000002, 143, 1.00, 0.78
7, 0.00005793, 0.00000003, 100, 0.43, 0.00011282, 0.00000020, 38, 0.00004319, 0.00000011, 139, 1.95, 0.75
8, 0.00012375, 0.00000342, 100, 0.38, 0.00012902, 0.00000026, 17, 0.00009109, 0.00000003, 308, 1.04, 0.74
9, 0.00012772, 0.00000042, 81, 0.14, 0.00013365, 0.00000008, 18, 0.00008255, 0.00000016, 586, 1.05, 0.65
10, 0.00002501, 0.00000080, 100, 0.36, 0.00003394, 0.00000004, 14, 0.00002076, 0.00000002, 125, 1.36, 0.83
11, 0.00004357, 0.00000016, 84, 0.40, 0.00005121, 0.00000004, 10, 0.00003359, 0.00000009, 130, 1.18, 0.77
12, 0.00004194, 0.00000158, 28, 0.15, 0.00004194, 0.00000158, 6, 0.00001721, 0.00000001, 94, 1.00, 0.41
13, 0.00005712, 0.00000038, 81, 0.15, 0.00006676, 0.00000016, 32, 0.00004049, 0.00000012, 197, 1.17, 0.71
14, 0.00005286, 0.00000021, 85, 0.13, 0.00005520, 0.00000004, 16, 0.00003892, 0.00000002, 329, 1.04, 0.74
15, 0.00001691, 0.00000204, 100, 0.40, 0.00002267, 0.00000006, 46, 0.00001043, 0.00000004, 53, 1.34, 0.62
16, 0.00002682, 0.00000013, 75, 0.29, 0.00002711, 0.00000002, 32, 0.00002203, 0.00000002, 81, 1.01, 0.82
17, 0.00006341, 0.00000066, 71, 0.51, 0.00006687, 0.00000001, 38, 0.00004018, 0.00000002, 260, 1.05, 0.63
18, 0.00005203, 0.00000125, 69, 0.28, 0.00005391, 0.00000003, 37, 0.00003588, 0.00000002, 393, 1.04, 0.69
19, 0.00001876, 0.00000000, 28, 0.07, 0.00001876, 0.00000000, 29, 0.00001355, 0.00000005, 129, 1.00, 0.72
20, 0.00006517, 0.00000092, 90, 0.57, 0.00008017, 0.00000020, 28, 0.00006132, 0.00000003, 200, 1.23, 0.94
21, 0.00001555, 0.00000001, 40, 0.08, 0.00001555, 0.00000001, 21, 0.00001171, 0.00000002, 80, 1.00, 0.75
22, 0.00010682, 0.00000037, 79, 0.17, 0.00011126, 0.00000009, 30, 0.00008254, 0.00000035, 452, 1.04, 0.77
23, 0.00012769, 0.00000085, 100, 0.46, 0.00015498, 0.00000013, 4, 0.00007799, 0.00000008, 577, 1.21, 0.61
24, 0.00000807, 0.00000099, 98, 0.25, 0.00000931, 0.00000000, 17, 0.00000884, 0.00000001, 64, 1.15, 1.10
