BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
14, 0.00740316, 0.00000390, 100, 1.59, 0.00749193, 0.00000201, 140, 0.00704128, 0.00000238, 673, 1.01, 0.95
15, 0.00003430, 0.00000037, 17, 0.06, 0.00003454, 0.00000004, 1, 0.00003454, 0.00000004, 1, 1.01, 1.01
16, 0.01437787, 0.00003273, 74, 0.74, 0.01447064, 0.00000187, 274, 0.01332228, 0.00001239, 1314, 1.01, 0.93
17, 0.00000531, 0.00000001, 16, 0.03, 0.00000531, 0.00000001, 40, 0.00000531, 0.00000001, 40, 1.00, 1.00
18, 0.00001187, 0.00000001, 10, 0.02, 0.00001187, 0.00000001, 2, 0.00001187, 0.00000001, 2, 1.00, 1.00
19, 0.00363746, 0.00004369, 100, 0.99, 0.00368298, 0.00000330, 275, 0.00341606, 0.00000167, 669, 1.01, 0.94
20, 0.00000374, 0.00000001, 24, 0.07, 0.00000374, 0.00000001, 5, 0.00000374, 0.00000001, 5, 1.00, 1.00
21, 0.00000246, 0.00000002, 34, 0.11, 0.00000334, 0.00000001, 17, 0.00000334, 0.00000001, 17, 1.36, 1.36
22, 0.00000750, 0.00000002, 10, 0.02, 0.00000750, 0.00000002, 1, 0.00000750, 0.00000002, 1, 1.00, 1.00
23, 0.01143792, 0.00000688, 1, 0.74, 0.01143792, 0.00000688, 104, 0.01142182, 0.00000368, 815, 1.00, 1.00
24, 0.00157382, 0.00000016, 1, 0.19, 0.00157382, 0.00000016, 168, 0.00157382, 0.00000016, 168, 1.00, 1.00
25, 0.00005016, 0.00000002, 1, 0.08, 0.00005016, 0.00000002, 19, 0.00005016, 0.00000002, 19, 1.00, 1.00
26, 0.00000777, 0.00000002, 37, 0.05, 0.00000777, 0.00000002, 13, 0.00000777, 0.00000002, 13, 1.00, 1.00
TOP: 1000
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
