BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
14, 0.0000133083, 0.0000000127, 11, 0.13, 0.22, 0.0000133083, 0.0000000127, 2, 0.0000133083, 0.0000000127, 2, 1.00, 1.00
15, 0.0008125522, 0.0000014392, 100, 1.99, 6.04, 0.0009413597, 0.0000013835, 71, 0.0002135138, 0.0000001050, 874, 1.16, 0.26
16, 0.0000128984, 0.0000000065, 11, 0.13, 0.26, 0.0000128984, 0.0000000065, 3, 0.0000128984, 0.0000000065, 3, 1.00, 1.00
17, 0.0002444605, 0.0000115593, 94, 1.67, 5.72, 0.0003379454, 0.0000005348, 67, 0.0001947782, 0.0000001242, 450, 1.38, 0.80
18, 0.0000129185, 0.0000008820, 11, 0.13, 0.29, 0.0000130139, 0.0000000259, 4, 0.0000130139, 0.0000000259, 4, 1.01, 1.01
19, 0.0005708166, 0.0000009976, 7, 0.82, 4.86, 0.0005708166, 0.0000009976, 67, 0.0002726487, 0.0000001831, 580, 1.00, 0.48
20, 0.0000101582, 0.0000000423, 11, 0.13, 0.29, 0.0000101582, 0.0000000423, 4, 0.0000101582, 0.0000000423, 4, 1.00, 1.00
21, 0.0008074190, 0.0000011317, 92, 2.03, 6.07, 0.0008376621, 0.0000003151, 83, 0.0002557951, 0.0000004536, 1025, 1.04, 0.32
22, 0.0000098437, 0.0000000243, 10, 0.13, 0.21, 0.0000098437, 0.0000000243, 2, 0.0000098437, 0.0000000243, 2, 1.00, 1.00
23, 0.0001694265, 0.0000002094, 92, 2.05, 6.09, 0.0001716833, 0.0000001251, 78, 0.0001418498, 0.0000001882, 323, 1.01, 0.84
