BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
65, 0.0000201382, 0.0000006386, 97, 1.54, 1.80, 0.0000410524, 0.0000011690, 8, 0.0000154885, 0.0000000008, 278, 2.04, 0.77
66, 0.0000029180, 0.0000000019, 2, 0.17, 0.42, 0.0000029180, 0.0000000019, 10, 0.0000029180, 0.0000000019, 10, 1.00, 1.00
67, 0.0002292050, 0.0000004830, 97, 1.60, 1.86, 0.0002856261, 0.0000129912, 65, 0.0000167387, 0.0000000001, 214, 1.25, 0.07
68, 0.0000028248, 0.0000000000, 2, 0.17, 0.37, 0.0000028248, 0.0000000000, 8, 0.0000028248, 0.0000000000, 8, 1.00, 1.00
69, 0.0000062654, 0.0000001555, 2, 0.16, 0.42, 0.0000062654, 0.0000001555, 14, 0.0000034509, 0.0000000005, 35, 1.00, 0.55
70, 0.0000023603, 0.0000000006, 2, 0.17, 0.43, 0.0000023603, 0.0000000006, 8, 0.0000023580, 0.0000000000, 12, 1.00, 1.00
71, 0.0000232107, 0.0000002414, 69, 1.98, 2.24, 0.0000238545, 0.0000001085, 1, 0.0000195670, 0.0000000007, 386, 1.03, 0.84
72, 0.0000415185, 0.0000001761, 2, 0.15, 0.41, 0.0000415185, 0.0000001761, 63, 0.0000035889, 0.0000000000, 84, 1.00, 0.09
TOP: 25
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-25 time(s), Meta-25 std(s), trials-25, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-25, speedup-10k
0, 0.0000266704, 0.0000000005, 51, 0.86, 1.50, 0.0000266704, 0.0000000005, 4, 0.0000112858, 0.0000000004, 219, 1.00, 0.42
1, 0.0000184320, 0.0000004180, 90, 1.67, 1.70, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 542534722222222.25, 542534722222222.25
2, 0.0000677536, 0.0000000267, 66, 0.81, 1.45, 0.0000677536, 0.0000000267, 22, 0.0000166258, 0.0000000046, 147, 1.00, 0.25
3, 0.0000580267, 0.0000006386, 100, 1.61, 2.26, 0.0001428269, 0.0000054115, 65, 0.0000179433, 0.0000000010, 212, 2.46, 0.31
4, 0.0000037390, 0.0000000022, 6, 0.17, 0.81, 0.0000037390, 0.0000000022, 62, 0.0000031763, 0.0000000001, 119, 1.00, 0.85
5, 0.0000225280, 0.0000007241, 89, 1.45, 2.09, 0.0000273393, 0.0000000068, 13, 0.0000105715, 0.0000000012, 265, 1.21, 0.47
6, 0.0000474453, 0.0000002414, 97, 1.37, 2.01, 0.0000478022, 0.0000019701, 65, 0.0000107496, 0.0000000014, 174, 1.01, 0.23
7, 0.0000099949, 0.0000000017, 16, 0.86, 1.50, 0.0000117157, 0.0000000033, 28, 0.0000099949, 0.0000000017, 74, 1.17, 1.00
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000112858, 0.0000000004, 158, 1.27, 3.85, 0.0000151591, 0.0000000004, 88, 0.0000112858, 0.0000000004, 219, 1.34, 1.00
1, 0.0000170667, 0.0000002414, 176, 1.66, 1.68, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 585937500000000.00, 585937500000000.00
2, 0.0000186818, 0.0000000149, 50, 0.91, 3.48, 0.0000186818, 0.0000000149, 99, 0.0000166258, 0.0000000046, 147, 1.00, 0.89
3, 0.0000163837, 0.0000004183, 56, 1.56, 4.13, 0.0000201853, 0.0000000146, 75, 0.0000179433, 0.0000000010, 212, 1.23, 1.10
4, 0.0000031771, 0.0000000002, 7, 0.18, 2.75, 0.0000031771, 0.0000000002, 97, 0.0000031763, 0.0000000001, 119, 1.00, 1.00
5, 0.0000225280, 0.0000007241, 89, 1.46, 4.03, 0.0000273393, 0.0000000068, 13, 0.0000105715, 0.0000000012, 265, 1.21, 0.47
6, 0.0000223160, 0.0000000349, 64, 0.89, 3.47, 0.0000223160, 0.0000000349, 78, 0.0000107496, 0.0000000014, 174, 1.00, 0.48
