BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
16, 0.0093208482, 0.0000106457, 89, 1.060, 10.881, 0.0095464345, 0.0000082550, 267, 0.0088566570, 0.0000016726, 672, 21.999, 1.02, 0.95
17, 0.0000042582, 0.0000000451, 10, 0.114, 1.129, 0.0000042582, 0.0000000451, 31, 0.0000042582, 0.0000000451, 31, 1.015, 1.00, 1.00
18, 0.0000033895, 0.0000000475, 14, 0.149, 1.262, 0.0000034128, 0.0000000054, 34, 0.0000034128, 0.0000000054, 34, 1.113, 1.01, 1.01
19, 0.0000079452, 0.0000000620, 10, 0.077, 0.110, 0.0000080121, 0.0000000036, 1, 0.0000080121, 0.0000000036, 1, 0.033, 1.01, 1.01
20, 0.0262114385, 0.0000108067, 14, 0.399, 10.220, 0.0262114385, 0.0000108067, 117, 0.0261823001, 0.0000045680, 919, 30.086, 1.00, 1.00
21, 0.0039951375, 0.0000048841, 15, 0.144, 7.117, 0.0039951375, 0.0000048841, 213, 0.0039951375, 0.0000048841, 213, 6.973, 1.00, 1.00
22, 0.0006414312, 0.0000002607, 15, 0.099, 1.311, 0.0006414312, 0.0000002607, 37, 0.0006414312, 0.0000002607, 37, 1.211, 1.00, 1.00
23, 0.0000062078, 0.0000000423, 42, 0.336, 0.402, 0.0000073484, 0.0000000118, 2, 0.0000073484, 0.0000000118, 2, 0.065, 1.18, 1.18
TOP: 1000
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1000 time(s), Meta-1000 std(s), trials-1000, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1000, speedup-10k
0, 0.0000151880, 0.0000000050, 10, 0.075, 0.108, 0.0000151880, 0.0000000050, 1, 0.0000151880, 0.0000000050, 1, 0.033, 1.00, 1.00
1, 0.0019945202, 0.0000154840, 100, 0.951, 3.112, 0.0020858081, 0.0000017271, 66, 0.0020858081, 0.0000017271, 66, 2.161, 1.05, 1.05
2, 0.0007651533, 0.0000277604, 16, 0.165, 1.540, 0.0008100146, 0.0000001143, 42, 0.0008100146, 0.0000001143, 42, 1.375, 1.06, 1.06
3, 0.0178205642, 0.0000148777, 100, 1.182, 32.381, 0.0179632524, 0.0000121662, 953, 0.0179632524, 0.0000121662, 953, 31.199, 1.01, 1.01
4, 0.0001455679, 0.0000004375, 10, 0.081, 1.030, 0.0001455679, 0.0000004375, 29, 0.0001455679, 0.0000004375, 29, 0.949, 1.00, 1.00
5, 0.0000221437, 0.0000004118, 10, 0.076, 0.142, 0.0000224853, 0.0000000106, 2, 0.0000224853, 0.0000000106, 2, 0.065, 1.02, 1.02
6, 0.0174059682, 0.0000006654, 30, 1.013, 21.245, 0.0174059682, 0.0000006654, 618, 0.0174059682, 0.0000006654, 618, 20.232, 1.00, 1.00
7, 0.0001719801, 0.0000001901, 10, 0.078, 0.111, 0.0001719801, 0.0000001901, 1, 0.0001719801, 0.0000001901, 1, 0.033, 1.00, 1.00
8, 0.0349032073, 0.0000035902, 31, 5.079, 19.843, 0.0349032073, 0.0000035902, 451, 0.0349032073, 0.0000035902, 451, 14.765, 1.00, 1.00
9, 0.0000221600, 0.0000020639, 15, 0.149, 0.477, 0.0000337091, 0.0000003952, 10, 0.0000337091, 0.0000003952, 10, 0.327, 1.52, 1.52
10, 0.0000445685, 0.0000001018, 10, 0.076, 0.141, 0.0000445685, 0.0000001018, 2, 0.0000445685, 0.0000001018, 2, 0.065, 1.00, 1.00
11, 0.0175055748, 0.0000052609, 59, 0.916, 26.713, 0.0175102084, 0.0000025736, 788, 0.0175102084, 0.0000025736, 788, 25.797, 1.00, 1.00
12, 0.0000856021, 0.0000000826, 10, 0.080, 0.145, 0.0000856021, 0.0000000826, 2, 0.0000856021, 0.0000000826, 2, 0.065, 1.00, 1.00
13, 0.0350394540, 0.0000201999, 31, 0.801, 33.538, 0.0350394540, 0.0000201999, 800, 0.0347967882, 0.0000069069, 1351, 44.228, 1.00, 0.99
14, 0.0000150062, 0.0000000767, 10, 0.077, 0.928, 0.0000175983, 0.0000012747, 26, 0.0000175983, 0.0000012747, 26, 0.851, 1.17, 1.17
15, 0.0000238671, 0.0000000467, 10, 0.077, 0.109, 0.0000238671, 0.0000000467, 1, 0.0000238671, 0.0000000467, 1, 0.033, 1.00, 1.00
16, 0.0087401112, 0.0000054153, 60, 0.681, 22.681, 0.0088566570, 0.0000016726, 672, 0.0088566570, 0.0000016726, 672, 21.999, 1.01, 1.01
17, 0.0000042582, 0.0000000451, 10, 0.114, 1.129, 0.0000042582, 0.0000000451, 31, 0.0000042582, 0.0000000451, 31, 1.015, 1.00, 1.00
18, 0.0000034128, 0.0000000054, 10, 0.082, 1.195, 0.0000034128, 0.0000000054, 34, 0.0000034128, 0.0000000054, 34, 1.113, 1.00, 1.00
19, 0.0000080121, 0.0000000036, 10, 0.077, 0.109, 0.0000080121, 0.0000000036, 1, 0.0000080121, 0.0000000036, 1, 0.033, 1.00, 1.00
20, 0.0261823001, 0.0000045680, 15, 0.444, 30.530, 0.0261823001, 0.0000045680, 919, 0.0261823001, 0.0000045680, 919, 30.086, 1.00, 1.00
21, 0.0039951375, 0.0000048841, 15, 0.139, 7.113, 0.0039951375, 0.0000048841, 213, 0.0039951375, 0.0000048841, 213, 6.973, 1.00, 1.00
22, 0.0006414312, 0.0000002607, 15, 0.100, 1.311, 0.0006414312, 0.0000002607, 37, 0.0006414312, 0.0000002607, 37, 1.211, 1.00, 1.00
23, 0.0000063362, 0.0000000264, 22, 0.166, 0.232, 0.0000073484, 0.0000000118, 2, 0.0000073484, 0.0000000118, 2, 0.065, 1.16, 1.16
BENCH: resnet18
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0008069383, 0.0000013623, 59, 0.804, 0.826, 0.0008492516, 0.0000014843, 1, 0.0001483512, 0.0000006014, 58, 1.299, 1.05, 0.18
