BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
3, 0.01214060, 0.00000917, 40, 0.34, 0.01214060, 0.00000917, 1.00
4, 0.00003234, 0.00000043, 25, 0.08, 0.00003238, 0.00000002, 1.00
5, 0.00623709, 0.00000451, 40, 0.44, 0.00623709, 0.00000451, 1.00
6, 0.01237791, 0.00006559, 48, 0.92, 0.01238074, 0.00000419, 1.00
7, 0.00001760, 0.00000005, 16, 0.05, 0.00001760, 0.00000005, 1.00
8, 0.00000889, 0.00000001, 10, 0.02, 0.00000889, 0.00000001, 1.00
9, 0.00608372, 0.00001543, 72, 0.46, 0.00613623, 0.00000184, 1.01
10, 0.00006433, 0.00000022, 10, 0.03, 0.00006805, 0.00000006, 1.06
11, 0.01234706, 0.00001206, 72, 0.62, 0.01238309, 0.00001230, 1.00
12, 0.00000796, 0.00000000, 16, 0.04, 0.00000796, 0.00000000, 1.00
13, 0.00001877, 0.00000005, 10, 0.02, 0.00001877, 0.00000005, 1.00
14, 0.00620079, 0.00000929, 81, 0.53, 0.00623398, 0.00000170, 1.01
15, 0.00003434, 0.00000012, 10, 0.02, 0.00003526, 0.00000111, 1.03
16, 0.00003515, 0.00000029, 17, 0.06, 0.00003543, 0.00000002, 1.01
17, 0.01225633, 0.00001070, 97, 1.28, 0.01231063, 0.00000150, 1.00
18, 0.00000532, 0.00000001, 16, 0.03, 0.00000532, 0.00000001, 1.00
19, 0.00001185, 0.00000004, 10, 0.02, 0.00001185, 0.00000004, 1.00
20, 0.00306939, 0.00003321, 73, 0.34, 0.00310026, 0.00000354, 1.01
21, 0.00000397, 0.00000001, 24, 0.07, 0.00000397, 0.00000001, 1.00
22, 0.00000246, 0.00000002, 35, 0.09, 0.00000349, 0.00000001, 1.42
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1.00
24, 0.01143665, 0.00000256, 1, 0.81, 0.01143665, 0.00000256, 1.00
25, 0.00157072, 0.00000299, 1, 0.20, 0.00157072, 0.00000299, 1.00
26, 0.00004745, 0.00000008, 1, 0.08, 0.00004745, 0.00000008, 1.00
27, 0.00000754, 0.00000001, 35, 0.05, 0.00000754, 0.00000001, 1.00
BENCH: vgg19
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000690, 0.00000019, 14, 0.04, 0.00000701, 0.00000000, 1.02
1, 0.00080175, 0.00000551, 100, 0.60, 0.00086577, 0.00000034, 1.08
2, 0.00023682, 0.00000110, 10, 0.03, 0.00023682, 0.00000110, 1.00
3, 0.01313428, 0.00000236, 40, 0.96, 0.01313428, 0.00000236, 1.00
4, 0.00003224, 0.00000003, 16, 0.05, 0.00003224, 0.00000003, 1.00
5, 0.00646806, 0.00001952, 75, 0.80, 0.00654899, 0.00000072, 1.01
6, 0.01331367, 0.00004298, 72, 2.88, 0.01332918, 0.00001283, 1.00
7, 0.00001654, 0.00000001, 16, 0.05, 0.00001654, 0.00000001, 1.00
8, 0.00000835, 0.00000000, 10, 0.02, 0.00000835, 0.00000000, 1.00
9, 0.00664407, 0.00000808, 80, 1.70, 0.00670901, 0.00000520, 1.01
10, 0.00006414, 0.00000038, 10, 0.03, 0.00006801, 0.00000022, 1.06
11, 0.01287550, 0.00003701, 74, 2.82, 0.01293754, 0.00001969, 1.00
12, 0.00000795, 0.00000002, 16, 0.04, 0.00000795, 0.00000002, 1.00
13, 0.00001879, 0.00000005, 10, 0.02, 0.00001879, 0.00000005, 1.00
14, 0.00656478, 0.00002232, 100, 0.59, 0.00666516, 0.00000521, 1.02
15, 0.00003456, 0.00000038, 14, 0.04, 0.00003457, 0.00000001, 1.00
16, 0.00003541, 0.00000005, 10, 0.02, 0.00003541, 0.00000005, 1.00
17, 0.01278806, 0.00001740, 74, 0.75, 0.01280353, 0.00000681, 1.00
18, 0.00000523, 0.00000001, 16, 0.03, 0.00000523, 0.00000001, 1.00
19, 0.00001146, 0.00000003, 10, 0.02, 0.00001146, 0.00000003, 1.00
20, 0.00328447, 0.00000984, 73, 0.36, 0.00329449, 0.00000164, 1.00
21, 0.00000379, 0.00000000, 23, 0.07, 0.00000379, 0.00000000, 1.00
22, 0.00000245, 0.00000002, 49, 0.11, 0.00000350, 0.00000001, 1.43
23, 0.00000758, 0.00000002, 10, 0.02, 0.00000758, 0.00000002, 1.00
24, 0.01143325, 0.00000529, 1, 0.76, 0.01143325, 0.00000529, 1.00
25, 0.00160330, 0.00000009, 1, 0.19, 0.00160330, 0.00000009, 1.00
26, 0.00004659, 0.00000004, 1, 0.11, 0.00004659, 0.00000004, 1.00
27, 0.00000765, 0.00000014, 64, 0.11, 0.00000765, 0.00000002, 1.00
BENCH: shufflenet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000346, 0.00000002, 19, 0.06, 0.00000350, 0.00000000, 1.01
1, 0.00000427, 0.00000002, 40, 0.08, 0.00000427, 0.00000002, 1.00
