BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
19, 0.0001191715, 0.0000001846, 100, 1.24, 1.34, 0.0001536111, 0.0000001042, 9, 0.0001116529, 0.0000000283, 15, 1.29, 0.94
20, 0.0001044345, 0.0000011203, 99, 1.32, 1.43, 0.0002114499, 0.0000001443, 3, 0.0000858812, 0.0000004406, 11, 2.02, 0.82
21, 0.0000726707, 0.0000003254, 100, 1.25, 1.36, 0.0001422065, 0.0000359922, 2, 0.0001000833, 0.0000000523, 19, 1.96, 1.38
22, 0.0001969092, 0.0000015604, 100, 1.24, 1.34, 0.0002412687, 0.0000001309, 6, 0.0001023682, 0.0000000996, 22, 1.23, 0.52
23, 0.0000917728, 0.0000002958, 96, 1.36, 1.42, 0.0000985432, 0.0000001942, 6, 0.0000985432, 0.0000001942, 6, 1.07, 1.07
24, 0.0000753610, 0.0000003061, 92, 1.37, 1.47, 0.0001027287, 0.0000001517, 7, 0.0000892190, 0.0000001046, 61, 1.36, 1.18
25, 0.0000601107, 0.0000004293, 100, 1.41, 1.51, 0.0001007911, 0.0000000610, 1, 0.0000760821, 0.0000000669, 38, 1.68, 1.27
26, 0.0000677010, 0.0000005227, 100, 1.15, 1.26, 0.0001066947, 0.0000002668, 10, 0.0000961810, 0.0000000150, 38, 1.58, 1.42
27, 0.0000947945, 0.0000008452, 98, 1.21, 1.31, 0.0001272764, 0.0000450555, 6, 0.0000873150, 0.0000003550, 40, 1.34, 0.92
28, 0.0000508738, 0.0000005956, 99, 1.24, 1.34, 0.0000928323, 0.0000016815, 5, 0.0000620635, 0.0000000271, 63, 1.82, 1.22
29, 0.0000575123, 0.0000002039, 100, 1.16, 1.27, 0.0000886427, 0.0000023513, 4, 0.0000691199, 0.0000001042, 51, 1.54, 1.20
