Thu Dec 14 08:31:11 EST 2023
fj001
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
0, 0.00004555, 89.24, 1104.12, 32, 0.00004720, 1014.88, 320, 0.00004720, 1014.88, 320, 1.04, 1.04, 0.92, 0.92
1, 0.00002778, 67.58, 1082.46, 11, 0.00002778, 1014.88, 320, 0.00002778, 1014.88, 320, 1.00, 1.00, 0.94, 0.94
2, 0.00011067, 18.80, 1642.61, 6, 0.00011067, 1623.81, 512, 0.00011067, 1623.81, 512, 1.00, 1.00, 0.99, 0.99
3, 0.00004356, 16.77, 625.70, 11, 0.00004356, 608.93, 192, 0.00004356, 608.93, 192, 1.00, 1.00, 0.97, 0.97
4, 0.00002343, 1.74, 375.98, 2, 0.00002343, 374.24, 118, 0.00002343, 374.24, 118, 1.00, 1.00, 1.00, 1.00
5, 0.00002393, 0.77, 362.32, 1, 0.00002393, 361.55, 114, 0.00002393, 361.55, 114, 1.00, 1.00, 1.00, 1.00
6, 0.00004095, 16.46, 625.39, 11, 0.00004095, 608.93, 192, 0.00004095, 608.93, 192, 1.00, 1.00, 0.97, 0.97
7, 0.00003531, 53.89, 1271.75, 11, 0.00003531, 1217.86, 384, 0.00003531, 1217.86, 384, 1.00, 1.00, 0.96, 0.96
8, 0.00031625, 87.86, 3259.37, 28, 0.00035140, 3171.51, 1000, 0.00035140, 5074.41, 1600, 1.11, 1.11, 0.97, 1.56
9, 0.00010323, 39.95, 3211.46, 11, 0.00010323, 3171.51, 1000, 0.00010323, 3247.62, 1024, 1.00, 1.00, 0.99, 1.01
10, 0.00004913, 56.05, 1070.93, 11, 0.00004913, 1014.88, 320, 0.00004913, 1014.88, 320, 1.00, 1.00, 0.95, 0.95
11, 0.00009203, 39.29, 2677.99, 11, 0.00009203, 2638.70, 832, 0.00009203, 2638.70, 832, 1.00, 1.00, 0.99, 0.99
12, 0.00007014, 14.67, 2450.39, 8, 0.00007014, 2435.72, 768, 0.00007014, 2435.72, 768, 1.00, 1.00, 0.99, 0.99
13, 0.00003151, 63.76, 1281.62, 11, 0.00003151, 1217.86, 384, 0.00003151, 1217.86, 384, 1.00, 1.00, 0.95, 0.95
