Fri Dec 29 08:12:26 EST 2023
fj002
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
17, 0.00112447, 151.95, 192.57, 21, 0.00246657, 40.61, 10, 0.00056525, 1819.45, 448, 2.19, 0.50, 0.21, 9.45
18, 0.00074282, 395.76, 436.37, 43, 0.00166781, 40.61, 10, 0.00021414, 2079.37, 512, 2.25, 0.29, 0.09, 4.77
19, 0.00247215, 355.23, 395.84, 29, 0.00496591, 40.61, 10, 0.00028978, 4158.74, 1024, 2.01, 0.12, 0.10, 10.51
20, 0.00035477, 248.17, 288.78, 67, 0.00098228, 40.61, 10, 0.00009824, 2079.37, 512, 2.77, 0.28, 0.14, 7.20
21, 0.00281648, 221.76, 262.37, 39, 0.00283121, 40.61, 10, 0.00034536, 2079.37, 512, 1.01, 0.12, 0.15, 7.93
22, 0.00056329, 136.11, 176.72, 27, 0.00105176, 40.61, 10, 0.00023714, 2079.37, 512, 1.87, 0.42, 0.23, 11.77
23, 0.00030568, 244.00, 284.61, 66, 0.00062833, 40.61, 10, 0.00018380, 1299.61, 320, 2.06, 0.60, 0.14, 4.57
24, 0.00241445, 28.48, 69.09, 12, 0.00276134, 40.61, 10, 0.00033942, 1299.61, 320, 1.14, 0.14, 0.59, 18.81
25, 0.00098447, 22.00, 62.61, 13, 0.00218059, 40.61, 10, 0.00037081, 1819.45, 448, 2.21, 0.38, 0.65, 29.06
26, 0.00002781, 3.00, 43.61, 2, 0.00002781, 40.61, 10, 0.00002633, 259.92, 64, 1.00, 0.95, 0.93, 5.96
27, 0.00056460, 29.96, 70.58, 15, 0.00056460, 40.61, 10, 0.00012552, 1819.45, 448, 1.00, 0.22, 0.58, 25.78
Top 25
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k
0, 0.00191512, 116.59, 218.12, 40, 0.00250538, 101.53, 25, 0.00081801, 2599.21, 640, 1.31, 0.43, 0.47, 11.92
1, 0.00040005, 122.22, 223.75, 24, 0.00074254, 101.53, 25, 0.00017537, 779.76, 192, 1.86, 0.44, 0.45, 3.48
2, 0.00026542, 188.54, 290.07, 48, 0.00049065, 101.53, 25, 0.00010431, 1819.45, 448, 1.85, 0.39, 0.35, 6.27
