BENCH: alexnet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
1, 0.00015076, 0.00000016, 32.22, 91.29, 56, 0.00028318, 0.00000001, 59.07, 10, 0.00003503, 0.00000001, 3780.60, 640, 1.88, 0.23, 0.65, 41.41, 0.00000000
2, 0.00000218, 0.00000000, 9.84, 68.91, 11, 0.00000218, 0.00000000, 59.07, 10, 0.00000218, 0.00000000, 378.06, 64, 1.00, 1.00, 0.86, 5.49, 1.00000000
3, 0.00009957, 0.00000000, 12.08, 71.15, 11, 0.00009957, 0.00000000, 59.07, 10, 0.00004270, 0.00000011, 4914.78, 832, 1.00, 0.43, 0.83, 69.07, 0.00000000
4, 0.00026430, 0.00000042, 38.83, 97.90, 34, 0.00064084, 0.00000010, 59.07, 10, 0.00018592, 0.00000025, 20037.18, 3392, 2.42, 0.70, 0.60, 204.67, 0.00000000
5, 0.00000995, 0.00000000, 13.26, 72.33, 14, 0.00000995, 0.00000000, 59.07, 10, 0.00000302, 0.00000000, 378.06, 64, 1.00, 0.30, 0.82, 5.23, 0.00000000
6, 0.00014716, 0.00000006, 9.58, 68.65, 11, 0.00014716, 0.00000006, 59.07, 10, 0.00006005, 0.00000008, 6427.02, 1088, 1.00, 0.41, 0.86, 93.62, 0.00000000
7, 0.00000421, 0.00000000, 10.53, 69.60, 12, 0.00000421, 0.00000000, 59.07, 10, 0.00000415, 0.00000000, 756.12, 128, 1.00, 0.99, 0.85, 10.86, 0.00000368
8, 0.00006221, 0.00000015, 94.37, 153.44, 11, 0.00006221, 0.00000015, 59.07, 10, 0.00001875, 0.00000006, 2268.36, 384, 1.00, 0.30, 0.38, 14.78, 0.00000000
9, 0.00000219, 0.00000000, 9.84, 68.91, 11, 0.00000219, 0.00000000, 59.07, 10, 0.00000216, 0.00000000, 378.06, 64, 1.00, 0.99, 0.86, 5.49, 0.00020140
10, 0.00000240, 0.00000000, 8.88, 67.96, 11, 0.00000240, 0.00000000, 59.07, 10, 0.00000217, 0.00000000, 378.06, 64, 1.00, 0.90, 0.87, 5.56, 0.00000000
11, 0.00018356, 0.00000001, 22.49, 81.56, 13, 0.00018356, 0.00000001, 59.07, 10, 0.00003982, 0.00000012, 4536.72, 768, 1.00, 0.22, 0.72, 55.62, 0.00000000
12, 0.00023572, 0.00000001, 16.43, 75.51, 15, 0.00023572, 0.00000001, 59.07, 10, 0.00008797, 0.00000014, 9451.50, 1600, 1.00, 0.37, 0.78, 125.18, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), std Ansor-25, tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k, p-value
0, 0.00006006, 0.00000018, 19.06, 166.74, 13, 0.00006006, 0.00000018, 147.68, 25, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 0.82, 0.89, 34.01, 0.00000028
1, 0.00021958, 0.00000000, 15.07, 162.75, 14, 0.00021958, 0.00000000, 147.68, 25, 0.00003503, 0.00000001, 3780.60, 640, 1.00, 0.16, 0.91, 23.23, 0.00000000
