BENCH: resnet50
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
1, 0.00003682, 0.00000007, 15.79, 2086.91, 11, 0.00003682, 0.00000007, 2071.13, 320, 0.00003682, 0.00000007, 2071.13, 320, 1.00, 1.00, 0.99, 0.99, 1.00000000
2, 0.00000579, 0.00000000, 16.67, 430.90, 13, 0.00000579, 0.00000000, 414.23, 64, 0.00000579, 0.00000000, 414.23, 64, 1.00, 1.00, 0.96, 0.96, 1.00000000
3, 0.00002417, 0.00000000, 16.30, 1258.98, 15, 0.00002417, 0.00000000, 1242.68, 192, 0.00002417, 0.00000000, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
4, 0.00000412, 0.00000000, 11.05, 425.28, 13, 0.00000412, 0.00000000, 414.23, 64, 0.00000412, 0.00000000, 414.23, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
5, 0.00002651, 0.00000007, 18.68, 1261.36, 15, 0.00002651, 0.00000007, 1242.68, 192, 0.00002651, 0.00000007, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
6, 0.00009555, 0.00000000, 19.79, 3747.82, 17, 0.00009555, 0.00000000, 3728.03, 576, 0.00009555, 0.00000000, 3728.03, 576, 1.00, 1.00, 0.99, 0.99, 1.00000000
7, 0.00002060, 0.00000003, 18.26, 2917.84, 11, 0.00002060, 0.00000003, 2899.58, 448, 0.00002060, 0.00000003, 2899.58, 448, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00002380, 0.00000004, 19.89, 1262.57, 17, 0.00002380, 0.00000004, 1242.68, 192, 0.00002380, 0.00000004, 1242.68, 192, 1.00, 1.00, 0.98, 0.98, 1.00000000
9, 0.00010115, 0.00000011, 16.10, 4158.35, 15, 0.00010115, 0.00000011, 4142.25, 640, 0.00010115, 0.00000011, 4142.25, 640, 1.00, 1.00, 1.00, 1.00, 1.00000000
10, 0.00001311, 0.00000004, 16.12, 2501.47, 11, 0.00001311, 0.00000004, 2485.35, 384, 0.00001311, 0.00000004, 2485.35, 384, 1.00, 1.00, 0.99, 0.99, 1.00000000
11, 0.00003532, 0.00000009, 15.79, 2915.37, 16, 0.00003532, 0.00000009, 2899.58, 448, 0.00003532, 0.00000009, 2899.58, 448, 1.00, 1.00, 0.99, 0.99, 1.00000000
12, 0.00002717, 0.00000007, 77.62, 1320.29, 11, 0.00002717, 0.00000007, 1242.68, 192, 0.00002717, 0.00000007, 1242.68, 192, 1.00, 1.00, 0.94, 0.94, 1.00000000
13, 0.00003408, 0.00000006, 25.82, 1682.72, 15, 0.00003408, 0.00000006, 1656.90, 256, 0.00003408, 0.00000006, 1656.90, 256, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00002957, 0.00000004, 29.61, 3757.64, 15, 0.00002957, 0.00000004, 3728.03, 576, 0.00002957, 0.00000004, 3728.03, 576, 1.00, 1.00, 0.99, 0.99, 1.00000000
15, 0.00000305, 0.00000000, 12.24, 426.47, 13, 0.00000305, 0.00000000, 414.23, 64, 0.00000305, 0.00000000, 414.23, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
16, 0.00001605, 0.00000002, 16.44, 1259.12, 15, 0.00001605, 0.00000002, 1242.68, 192, 0.00001605, 0.00000002, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00001684, 0.00000001, 14.18, 2085.31, 14, 0.00001684, 0.00000001, 2071.13, 320, 0.00001684, 0.00000001, 2071.13, 320, 1.00, 1.00, 0.99, 0.99, 1.00000000
