BENCH: mobilenet_v2
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
27, 0.00000506, 0.00000000, 17.75, 1372.29, 17, 0.00000506, 0.00000000, 1354.54, 192, 0.00000506, 0.00000000, 1354.54, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
28, 0.00000371, 0.00000000, 12.79, 1423.77, 11, 0.00000371, 0.00000000, 1410.98, 200, 0.00000371, 0.00000000, 1806.06, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
29, 0.00000368, 0.00000000, 16.64, 1427.62, 15, 0.00000368, 0.00000000, 1410.98, 200, 0.00000368, 0.00000000, 3160.60, 448, 1.00, 1.00, 0.99, 2.21, 0.00086291
30, 0.00000642, 0.00000000, 14.94, 1369.48, 13, 0.00000642, 0.00000000, 1354.54, 192, 0.00000642, 0.00000000, 1354.54, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
31, 0.00000795, 0.00000000, 13.59, 1424.57, 12, 0.00000795, 0.00000000, 1410.98, 200, 0.00000795, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.58, 1.00000000
32, 0.00000602, 0.00000001, 13.58, 1424.56, 11, 0.00000602, 0.00000001, 1410.98, 200, 0.00000565, 0.00000000, 3612.11, 512, 1.00, 0.94, 0.99, 2.54, 0.00000112
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00000724, 0.00000000, 14.05, 1820.10, 12, 0.00000724, 0.00000000, 1806.06, 256, 0.00000724, 0.00000000, 1806.06, 256, 1.00, 1.00, 0.99, 0.99, 1.00000000
1, 0.00000415, 0.00000000, 12.91, 915.94, 11, 0.00000415, 0.00000000, 903.03, 128, 0.00000415, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
2, 0.00000236, 0.00000000, 12.45, 2128.92, 13, 0.00000236, 0.00000000, 2116.47, 300, 0.00000236, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
3, 0.00001126, 0.00000000, 16.28, 2132.76, 15, 0.00001126, 0.00000000, 2116.47, 300, 0.00001023, 0.00000000, 4966.65, 704, 1.00, 0.91, 0.99, 2.33, 0.00000000
4, 0.00000356, 0.00000000, 14.34, 2130.81, 11, 0.00000356, 0.00000000, 2116.47, 300, 0.00000356, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
5, 0.00000256, 0.00000000, 12.55, 2129.02, 11, 0.00000256, 0.00000000, 2116.47, 300, 0.00000256, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
6, 0.00000958, 0.00000000, 13.11, 2129.58, 11, 0.00000958, 0.00000000, 2116.47, 300, 0.00000958, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
7, 0.00000427, 0.00000000, 13.24, 916.27, 11, 0.00000427, 0.00000000, 903.03, 128, 0.00000427, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00000638, 0.00000000, 15.29, 2131.76, 11, 0.00000638, 0.00000000, 2116.47, 300, 0.00000538, 0.00000000, 2709.08, 384, 1.00, 0.84, 0.99, 1.27, 0.00000000
9, 0.00000411, 0.00000000, 10.78, 913.81, 13, 0.00000411, 0.00000000, 903.03, 128, 0.00000411, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
10, 0.00000675, 0.00000000, 14.05, 2130.52, 11, 0.00000675, 0.00000000, 2116.47, 300, 0.00000647, 0.00000001, 4515.14, 640, 1.00, 0.96, 0.99, 2.12, 0.00000374
11, 0.00000499, 0.00000000, 13.66, 2130.13, 12, 0.00000499, 0.00000000, 2116.47, 300, 0.00000499, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
12, 0.00001118, 0.00000001, 14.46, 2130.93, 14, 0.00001118, 0.00000001, 2116.47, 300, 0.00001115, 0.00000000, 2709.08, 384, 1.00, 1.00, 0.99, 1.27, 0.01038863
13, 0.00000295, 0.00000000, 14.22, 917.25, 16, 0.00000295, 0.00000000, 903.03, 128, 0.00000295, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00001895, 0.00000001, 12.92, 2129.40, 15, 0.00001895, 0.00000001, 2116.47, 300, 0.00001884, 0.00000003, 4063.63, 576, 1.00, 0.99, 0.99, 1.91, 0.00503615
